population,replications,final_estimate,final_standard_error,final_relative_half_width,n_for_5pct,n_for_2pct,n_for_1pct
100,30,2.664692621023077,0.04929855099667675,0.03626127801426806,21,not_reached,not_reached
250,30,2.6215300878823764,0.030315185255164648,0.022665298931632435,7,not_reached,not_reached
500,30,2.6571476639068905,0.024588125333034092,0.018137014478859445,5,27,not_reached
1000,30,2.65516929580343,0.01976523923213155,0.014590357366743918,4,20,not_reached
