population,horizon,burn_in,seed,observations,ending_firms,ending_maximum,maximum_share,mean_size,size_variance,size_second_moment,normalized_second_moment,rank_size_slope
2000,50,25,201,18600,754,50,0.025,2.6881720430107525,14.056096658575957,21.28236559139785,5.320591397849462e-6,-1.5868015040185082
2000,50,25,202,19156,780,78,0.039,2.6101482564209646,13.23431755998011,20.04719148047609,5.011797870119023e-6,-1.6337888278319543
2000,50,25,203,17792,733,34,0.017,2.810251798561151,15.027170080481136,22.92468525179856,5.73117131294964e-6,-1.5385090760022466
2000,100,50,201,36990,726,40,0.02,2.703433360367667,15.278904135256775,22.587456069207892,5.646864017301973e-6,-1.5816075306221704
2000,100,50,202,38104,765,43,0.0215,2.624396388830569,13.502633873523836,20.390090279235775,5.0975225698089435e-6,-1.6241447031491032
2000,100,50,203,35367,665,56,0.028,2.8274945570729777,15.671460522308152,23.666185992591963,5.916546498147991e-6,-1.5296968189421793
2000,200,100,201,74117,731,38,0.019,2.698436256189538,15.861607306860744,23.143165535572138,5.785791383893035e-6,-1.5979449960006002
2000,200,100,202,76621,805,33,0.0165,2.6102504535310165,11.550148253012873,18.3635556831678,4.5908889207919495e-6,-1.6392116708056086
2000,200,100,203,71941,752,35,0.0175,2.78005587912317,16.585824831119545,24.314535522163997,6.078633880540999e-6,-1.5392306460608243
