seed,observations,maximum,hill_05,hill_10,hill_20,tm_5,tm_10,tm_20,tm_40,tm_80
101,11717,96,2.1200804240701427,1.795271950512643,1.520324583729941,6.047025689169582,9.909533156951438,14.453699752496373,18.308611419305283,19.76290859435009
102,11576,83,2.4566768871085944,1.8333778433254884,1.442545179164187,6.475898410504492,10.428213545266068,14.23393227366966,16.59934346924672,18.026779543883897
103,11560,47,2.419090347309112,1.7950012908867783,1.4134527304705788,6.549307958477509,10.63719723183391,14.441695501730104,16.396453287197232,16.478200692041522
104,10875,153,1.7820081325148194,1.533131405836938,1.3273858639186242,6.502252873563219,11.00377011494253,16.30289655172414,21.245977011494254,24.95503448275862
105,10907,122,1.7281781707652346,1.510874785796412,1.3296253671617395,6.414871183643531,10.90088933712295,16.497295314935364,21.57761070871917,25.148711836435318
106,11713,48,2.3273775641697974,1.7806702237204375,1.45321454049486,6.310851190984376,10.423461111585418,14.39520191240502,16.60642021685307,16.78784256808674
107,11335,91,2.188461722680926,1.7522877598426616,1.4115532162883886,6.485840317600353,10.513718570798412,14.722805469783856,18.54459638288487,20.75086016762241
108,11134,131,1.8741864270675563,1.6224477937891915,1.3926839096294745,6.356655290102389,10.58236033770433,15.586581641817855,20.68421052631579,23.787407939644332
109,10924,136,1.8854311776314847,1.5579287449906623,1.3131454552719772,6.674844379348224,11.199652142072502,16.16752105455877,20.128890516294398,21.99807762724277
110,10600,160,1.7605437948972322,2.075675141949354,2.0488774359702027,6.765,11.36632075471698,16.58,21.69132075471698,26.235377358490567
